AgentID,turn_dur
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.5
Larva_100,0.0625
Larva_100,0.625
Larva_100,0.125
Larva_100,0.25
Larva_100,0.625
Larva_100,0.6875
Larva_100,0.0625
Larva_100,0.125
Larva_100,0.0625
Larva_100,0.5
Larva_100,0.125
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.375
Larva_100,0.125
Larva_100,0.6875
Larva_100,0.5625
Larva_100,0.0625
Larva_100,0.25
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.25
Larva_100,0.375
Larva_100,0.125
Larva_100,0.125
Larva_100,0.25
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.125
Larva_100,0.125
Larva_100,0.8125
Larva_100,0.25
Larva_100,0.25
Larva_100,0.1875
Larva_100,0.625
Larva_100,0.25
Larva_100,0.125
Larva_100,0.125
Larva_100,0.3125
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.75
Larva_100,0.3125
Larva_100,0.3125
Larva_100,0.25
Larva_100,0.5
Larva_100,0.3125
Larva_100,0.375
Larva_100,0.1875
Larva_100,0.4375
Larva_100,0.4375
Larva_100,0.625
Larva_100,0.8125
Larva_100,0.125
Larva_100,0.375
Larva_100,0.0625
Larva_100,0.25
Larva_100,0.75
Larva_100,0.25
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.375
Larva_100,0.125
Larva_100,0.1875
Larva_100,0.625
Larva_100,0.125
Larva_100,0.3125
Larva_100,0.1875
Larva_100,0.6875
Larva_100,0.4375
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.375
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.4375
Larva_100,0.125
Larva_100,0.375
Larva_100,0.1875
Larva_100,0.8125
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.4375
Larva_100,0.25
Larva_100,0.25
Larva_100,0.1875
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.4375
Larva_100,0.3125
Larva_100,0.5
Larva_100,0.0625
Larva_100,0.4375
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.75
Larva_100,0.375
Larva_100,0.4375
Larva_100,0.375
Larva_100,0.25
Larva_100,0.3125
Larva_100,0.25
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.125
Larva_100,0.6875
Larva_100,0.25
Larva_100,0.6875
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.0625
Larva_100,0.3125
Larva_100,0.25
Larva_100,0.375
Larva_100,0.8125
Larva_100,0.375
Larva_100,0.375
Larva_100,0.625
Larva_100,0.125
Larva_100,0.125
Larva_100,0.5625
Larva_100,0.3125
Larva_100,1.0625
Larva_100,0.9375
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.0625
Larva_100,0.25
Larva_100,0.1875
Larva_100,0.4375
Larva_100,0.3125
Larva_100,0.25
Larva_100,0.0625
Larva_100,0.6875
Larva_100,0.4375
Larva_100,0.375
Larva_100,0.125
Larva_100,0.25
Larva_100,0.625
Larva_100,0.6875
Larva_100,0.375
Larva_100,0.0625
Larva_100,0.9375
Larva_100,0.125
Larva_100,0.4375
Larva_100,0.125
Larva_100,0.0625
Larva_100,0.375
Larva_100,0.25
Larva_100,0.25
Larva_100,0.3125
Larva_100,0.8125
Larva_100,0.1875
Larva_100,0.1875
Larva_100,0.3125
Larva_100,0.125
Larva_100,0.0625
Larva_100,0.1875
